payment_id,customer_id,staff_id,rental_id,amount,payment_date
97,375,1,10165,8.99,2005-07-16 12:05:37
98,570,2,6019,5.99,2005-06-04 21:35:37
99,62,2,12866,9.99,2005-09-18 11:09:37
100,489,1,7342,4.99,2005-06-04 07:15:37
101,550,2,15345,7.99,2005-06-01 06:37:37
102,475,2,7861,0.99,2005-07-16 14:12:37
103,149,1,6679,6.99,2005-07-01 13:30:37
104,428,2,11592,9.99,2005-07-30 05:18:37
105,555,1,7296,3.99,2005-06-21 07:31:37
106,56,1,12061,0.99,2005-08-07 10:48:37
107,218,1,14004,5.99,2005-09-09 11:04:37
108,63,1,12392,7.99,2005-08-20 04:42:37
109,559,1,12551,5.99,2005-06-07 19:21:37
110,219,1,10866,2.99,2005-06-28 03:39:37
111,431,2,9910,7.99,2005-06-09 03:51:37
112,255,2,7574,6.99,2005-08-23 17:19:37
113,81,2,9515,5.99,2005-06-05 06:39:37
114,111,2,8456,4.99,2005-08-14 22:29:37
115,166,1,4981,6.99,2005-06-29 20:53:37
116,226,1,1028,5.99,2005-05-31 08:00:37
117,231,1,13522,3.99,2005-06-02 12:43:37
118,212,1,11346,1.99,2005-09-04 11:02:37
119,417,1,3301,4.99,2005-06-24 19:38:37
120,392,1,989,4.99,2005-09-02 22:15:37
121,317,2,14652,0.99,2005-09-21 03:18:37
122,395,2,2181,6.99,2005-07-13 06:25:37
123,67,2,6695,4.99,2005-07-15 08:10:37
124,39,2,2350,7.99,2005-07-24 20:13:37
125,89,2,14460,2.99,2005-08-06 23:19:37
126,333,2,2302,8.99,2005-07-06 04:32:37
127,244,1,13575,8.99,2005-08-03 17:02:37
128,335,2,155,4.99,2005-08-03 12:57:37
129,402,2,4020,4.99,2005-06-29 13:00:37
130,541,1,5761,7.99,2005-06-29 14:03:37
131,485,1,9422,0.99,2005-06-09 03:09:37
132,473,1,15080,9.99,2005-06-10 16:05:37
133,82,2,13339,0.99,2005-07-11 20:23:37
134,17,2,6161,0.99,2005-08-14 00:00:37
135,501,1,963,2.99,2005-06-10 11:14:37
136,222,1,5421,4.99,2005-07-17 07:22:37
137,280,1,9097,1.99,2005-09-09 10:15:37
138,206,2,12323,8.99,2005-08-23 04:16:37
139,229,1,311,4.99,2005-06-08 15:27:37
140,488,2,9943,0.99,2005-06-19 08:15:37
141,282,1,8962,9.99,2005-07-31 12:03:37
142,349,2,14421,7.99,2005-08-07 04:59:37
143,575,1,6325,3.99,2005-07-03 11:29:37
144,132,1,175,3.99,2005-08-12 10:09:37
145,259,2,2290,6.99,2005-06-03 12:22:37
146,21,1,14954,1.99,2005-08-13 17:17:37
147,232,1,10822,5.99,2005-07-14 23:21:37
148,353,1,10018,8.99,2005-09-08 05:45:37
149,105,2,10527,9.99,2005-06-03 08:39:37
150,521,2,1593,5.99,2005-08-23 02:25:37
151,50,1,3295,6.99,2005-08-23 16:19:37
152,119,1,12736,2.99,2005-07-21 07:20:37
153,433,2,12749,2.99,2005-06-22 02:21:37
154,397,1,4464,5.99,2005-07-02 03:00:37
155,219,2,15895,6.99,2005-09-05 10:00:37
156,458,1,3871,1.99,2005-08-03 22:28:37
157,127,2,10747,6.99,2005-06-07 18:38:37
158,143,1,5141,5.99,2005-09-22 12:55:37
159,112,2,799,4.99,2005-07-29 19:20:37
160,456,2,8877,6.99,2005-09-07 20:27:37
161,60,2,1221,6.99,2005-06-20 08:57:37
162,248,2,15874,2.99,2005-07-04 19:37:37
163,163,2,2685,8.99,2005-09-06 14:04:37
164,295,1,11187,0.99,2005-06-06 14:57:37
165,36,1,15755,2.99,2005-09-19 15:38:37
166,451,1,14054,7.99,2005-06-17 11:16:37
167,191,1,3626,2.99,2005-09-17 03:59:37
168,80,1,12448,0.99,2005-06-24 21:06:37
169,217,1,9549,1.99,2005-08-22 11:51:37
170,295,1,15535,3.99,2005-06-16 11:01:37
171,256,1,973,6.99,2005-06-08 06:40:37
172,79,1,13437,1.99,2005-07-17 11:25:37
173,438,1,3676,7.99,2005-08-30 23:53:37
174,519,1,10937,4.99,2005-09-19 22:19:37
175,32,1,13440,7.99,2005-08-20 11:12:37
176,57,2,5290,1.99,2005-08-02 21:43:37
177,544,2,15301,3.99,2005-05-29 22:15:37
178,481,2,10401,3.99,2005-07-19 15:03:37
179,7,1,3742,1.99,2005-07-10 19:34:37
180,128,2,6159,7.99,2005-09-21 17:08:37
181,295,2,9322,2.99,2005-06-05 15:27:37
182,314,2,2307,9.99,2005-09-21 12:45:37
183,311,1,6375,2.99,2005-09-03 14:35:37
184,202,1,15945,1.99,2005-06-04 15:11:37
185,454,2,9357,0.99,2005-06-19 14:48:37
186,503,1,2254,3.99,2005-09-20 01:59:37
187,390,1,3436,3.99,2005-06-28 07:11:37
188,486,2,7338,1.99,2005-06-03 00:39:37
189,481,2,650,0.99,2005-05-25 18:15:37
190,95,2,14090,7.99,2005-09-16 10:10:37
191,74,1,14448,8.99,2005-07-30 02:11:37
192,5,2,12741,8.99,2005-07-04 11:26:37
193,350,1,14517,1.99,2005-08-02 14:32:37
194,288,1,5649,9.99,2005-07-05 04:59:37
195,317,1,9863,3.99,2005-09-09 12:11:37
196,438,2,4437,5.99,2005-09-17 23:17:37
197,484,1,3226,6.99,2005-06-27 07:04:37
198,261,2,10376,3.99,2005-08-28 03:08:37
199,94,2,14532,2.99,2005-09-07 15:58:37
200,266,1,7501,4.99,2005-09-20 18:21:37
201,341,2,9716,6.99,2005-08-16 17:10:37
202,512,1,4564,0.99,2005-09-12 09:35:37
203,218,2,15606,1.99,2005-07-09 13:04:37
204,6,1,5198,0.99,2005-06-27 18:51:37
205,41,2,3847,2.99,2005-08-01 05:21:37
206,207,1,12032,0.99,2005-07-13 10:48:37
207,239,2,2120,9.99,2005-06-27 20:34:37
208,127,1,5459,6.99,2005-06-19 18:03:37
209,155,1,8594,4.99,2005-09-13 19:17:37
210,251,1,12698,3.99,2005-06-17 16:31:37
211,556,1,35,9.99,2005-06-03 18:06:37
212,449,1,1810,0.99,2005-09-14 18:21:37
213,144,2,10796,3.99,2005-07-17 18:35:37
214,455,1,11030,4.99,2005-08-13 00:28:37
215,346,1,9985,0.99,2005-06-12 12:47:37
216,163,1,10210,1.99,2005-05-27 10:00:37
217,54,1,6572,9.99,2005-05-29 09:40:37
218,87,1,33,7.99,2005-09-14 09:40:37
219,6,1,7941,4.99,2005-08-25 02:40:37
220,510,1,14801,7.99,2005-06-21 01:28:37
221,337,1,3331,4.99,2005-07-08 01:10:37
222,475,1,7832,6.99,2005-08-04 06:55:37
223,134,2,5176,2.99,2005-06-10 13:45:37
224,14,1,11578,2.99,2005-07-02 19:44:37
225,559,1,3393,8.99,2005-07-07 17:05:37
226,50,2,5252,5.99,2005-07-06 22:43:37
227,23,1,12528,1.99,2005-09-03 05:07:37
228,522,2,8763,0.99,2005-07-19 04:02:37
229,537,1,2724,0.99,2005-06-23 22:21:37
230,474,1,13273,2.99,2005-08-05 07:38:37
231,495,2,10657,7.99,2005-08-07 13:29:37
232,81,2,1480,4.99,2005-08-05 01:33:37
233,532,2,11596,9.99,2005-07-25 12:41:37
234,185,1,8516,1.99,2005-06-02 19:44:37
235,438,2,15097,2.99,2005-09-10 22:32:37
236,363,2,4827,8.99,2005-08-13 01:15:37
237,327,1,8796,6.99,2005-09-02 07:24:37
238,367,1,5132,0.99,2005-08-31 10:01:37
239,502,1,10884,5.99,2005-08-17 04:54:37
240,592,1,3988,6.99,2005-06-08 11:46:37
241,470,1,1149,8.99,2005-07-23 22:15:37
242,48,2,7290,2.99,2005-07-31 19:37:37
243,509,2,2562,0.99,2005-07-29 00:16:37
244,449,2,4521,9.99,2005-08-31 20:03:37
245,555,1,15273,7.99,2005-08-28 02:19:37
246,409,1,3668,3.99,2005-07-28 06:15:37
247,91,1,4930,1.99,2005-07-12 17:38:37
248,318,1,9738,5.99,2005-07-23 23:32:37
249,479,2,14182,6.99,2005-06-02 15:39:37
250,410,2,8740,7.99,2005-08-20 17:39:37
251,224,2,12592,0.99,2005-08-26 12:05:37
252,239,2,13487,4.99,2005-06-02 21:53:37
253,127,1,1865,2.99,2005-06-07 07:22:37
254,275,1,10019,4.99,2005-07-31 01:58:37
255,433,2,5548,6.99,2005-09-23 10:39:37
256,95,2,9223,7.99,2005-07-25 21:54:37
257,489,1,4332,0.99,2005-08-29 05:58:37
258,95,1,7915,6.99,2005-07-24 18:24:37
259,352,1,8887,2.99,2005-07-13 15:10:37
260,127,1,11820,0.99,2005-07-18 16:33:37
261,314,2,9156,5.99,2005-07-07 23:08:37
262,181,1,7307,7.99,2005-09-05 11:03:37
263,201,2,965,4.99,2005-08-16 17:04:37
264,397,1,7921,1.99,2005-07-02 05:06:37
265,329,2,14844,3.99,2005-07-26 22:08:37
266,532,2,277,1.99,2005-08-29 17:47:37
267,483,1,7397,5.99,2005-06-10 14:22:37
268,385,2,9271,7.99,2005-09-22 23:21:37
269,312,1,7999,0.99,2005-08-24 12:15:37
270,492,2,6829,3.99,2005-08-03 09:56:37
271,557,1,5708,8.99,2005-09-19 18:21:37
272,553,1,8678,1.99,2005-08-07 05:24:37
273,514,1,9276,5.99,2005-09-16 05:51:37
274,507,2,1494,0.99,2005-06-22 00:29:37
275,341,1,3728,5.99,2005-06-16 22:12:37
276,380,1,13988,0.99,2005-06-17 12:05:37
277,27,2,14039,1.99,2005-07-03 08:27:37
278,110,2,12912,6.99,2005-06-12 12:35:37
279,314,1,13557,7.99,2005-08-25 07:51:37
280,598,1,9888,4.99,2005-06-29 15:43:37
281,76,2,7992,7.99,2005-08-26 06:18:37
282,337,1,14368,9.99,2005-08-15 11:53:37
283,113,1,14737,0.99,2005-07-07 02:36:37
284,575,1,4560,4.99,2005-06-10 16:32:37
285,389,1,11539,0.99,2005-08-12 04:33:37
286,85,1,14373,3.99,2005-07-01 18:27:37
287,27,2,13216,0.99,2005-09-05 11:18:37
288,528,2,6434,9.99,2005-08-01 13:39:37
289,407,1,4855,6.99,2005-07-28 06:24:37
290,575,1,14379,0.99,2005-06-27 18:32:37
291,73,1,10246,0.99,2005-07-05 15:24:37
292,47,1,5959,2.99,2005-06-27 17:16:37
293,337,1,1238,0.99,2005-08-10 08:57:37
294,56,2,12110,7.99,2005-07-27 12:35:37
295,464,2,581,5.99,2005-08-11 06:15:37
296,405,2,14504,2.99,2005-09-19 18:06:37
297,452,2,5617,2.99,2005-07-26 14:53:37
298,515,2,15174,6.99,2005-07-17 01:31:37
299,258,2,4056,8.99,2005-06-06 06:48:37
300,320,1,11416,6.99,2005-07-21 12:23:37
301,333,1,13901,6.99,2005-08-11 07:50:37
302,397,1,8605,0.99,2005-09-12 04:24:37
303,65,1,14785,2.99,2005-06-16 04:44:37
304,527,2,6489,8.99,2005-07-15 18:43:37
305,357,2,9899,0.99,2005-06-10 23:48:37
306,387,1,15875,7.99,2005-08-21 04:16:37
307,288,2,12892,1.99,2005-06-11 20:55:37
308,147,2,6865,2.99,2005-06-28 03:10:37
309,313,1,12657,2.99,2005-07-31 13:33:37
310,459,2,15592,7.99,2005-06-16 01:57:37
311,7,2,6580,4.99,2005-05-30 22:53:37
312,560,2,10999,2.99,2005-09-12 06:51:37
313,509,1,11914,8.99,2005-09-08 02:37:37
314,370,1,9249,1.99,2005-08-02 04:12:37
315,478,2,6636,9.99,2005-08-27 10:44:37
316,514,1,13586,2.99,2005-06-13 18:05:37
317,516,1,15082,6.99,2005-07-04 05:25:37
318,438,1,14676,3.99,2005-09-21 19:53:37
319,439,2,4617,4.99,2005-08-28 03:38:37
320,461,1,4983,1.99,2005-09-02 14:29:37
321,103,2,10023,7.99,2005-07-07 00:15:37
322,59,2,8188,2.99,2005-09-22 06:34:37
323,361,1,10691,7.99,2005-08-09 07:37:37
324,111,2,12207,3.99,2005-08-04 21:35:37
325,499,2,8372,4.99,2005-08-06 10:03:37
326,200,1,9493,6.99,2005-08-31 03:08:37
327,119,2,3627,7.99,2005-09-09 12:40:37
328,464,2,5495,2.99,2005-06-28 08:29:37
329,202,2,5226,7.99,2005-06-05 02:45:37
330,5,2,12154,3.99,2005-09-07 23:46:37
331,126,1,2395,8.99,2005-06-18 23:29:37
332,469,2,9527,7.99,2005-07-10 09:33:37
333,591,1,4477,3.99,2005-06-02 01:29:37
334,256,1,14181,7.99,2005-09-19 19:41:37
335,473,1,6453,0.99,2005-08-02 09:03:37
336,342,1,6243,0.99,2005-07-09 12:03:37
337,198,2,897,7.99,2005-08-22 15:31:37
338,485,1,1104,8.99,2005-09-15 18:16:37
339,485,1,1705,2.99,2005-06-09 07:29:37
340,40,1,10875,8.99,2005-05-28 22:54:37
341,591,2,3931,6.99,2005-08-02 21:35:37
342,320,2,114,2.99,2005-06-13 16:28:37
343,594,1,3474,6.99,2005-08-09 06:15:37
344,556,1,13566,2.99,2005-06-19 00:45:37
345,324,1,14304,7.99,2005-08-20 02:19:37
346,353,2,1862,3.99,2005-09-03 03:46:37
347,262,1,15974,9.99,2005-08-08 11:34:37
348,515,1,3054,4.99,2005-08-20 02:33:37
349,364,1,7073,3.99,2005-09-09 08:29:37
350,270,1,8374,4.99,2005-08-01 14:54:37
351,306,1,4191,7.99,2005-06-05 22:59:37
352,111,2,4608,5.99,2005-07-30 16:10:37
353,550,2,4982,0.99,2005-09-18 06:28:37
354,255,2,15998,9.99,2005-09-04 18:29:37
355,590,1,8249,0.99,2005-09-06 03:50:37
356,217,2,9721,6.99,2005-06-15 00:55:37
357,330,1,12710,3.99,2005-08-11 19:01:37
358,249,1,7174,6.99,2005-07-11 21:35:37
359,255,1,13554,2.99,2005-06-18 23:42:37
360,226,2,8194,6.99,2005-07-25 20:03:37
361,463,2,6170,7.99,2005-06-18 01:22:37
362,313,1,9961,2.99,2005-09-19 22:04:37
363,158,1,7264,4.99,2005-06-24 18:26:37
364,399,2,5959,9.99,2005-06-01 16:40:37
365,228,1,10216,1.99,2005-09-21 11:08:37
366,304,1,13333,1.99,2005-09-06 17:24:37
367,36,1,664,2.99,2005-05-31 02:36:37
368,423,1,3678,2.99,2005-06-03 01:36:37
369,566,1,13102,1.99,2005-07-05 03:38:37
370,554,2,1087,9.99,2005-07-22 10:15:37
371,3,2,4311,3.99,2005-05-31 12:06:37
372,322,1,11713,0.99,2005-08-04 13:10:37
373,134,1,14103,9.99,2005-07-08 00:03:37
374,30,1,1023,5.99,2005-07-26 05:38:37
375,144,2,3889,5.99,2005-08-18 20:12:37
376,262,2,13859,0.99,2005-08-04 23:54:37
377,410,1,1853,7.99,2005-08-10 23:11:37
378,346,1,1367,1.99,2005-07-11 16:27:37
379,364,1,13893,5.99,2005-06-26 22:47:37
380,214,1,7133,8.99,2005-08-18 11:17:37
381,268,1,14276,7.99,2005-05-29 14:51:37
382,556,2,12595,8.99,2005-06-29 22:09:37
383,471,1,7246,3.99,2005-06-15 05:19:37
384,453,2,7588,3.99,2005-05-28 13:49:37
385,359,2,13693,9.99,2005-07-24 08:37:37
386,105,1,5644,3.99,2005-05-30 02:10:37
387,154,1,10886,9.99,2005-05-30 03:04:37
388,198,2,9254,5.99,2005-06-22 11:11:37
389,11,1,7201,0.99,2005-05-30 11:49:37
390,167,2,14824,8.99,2005-07-28 00:06:37
391,577,1,15302,1.99,2005-06-13 14:59:37
392,550,2,5563,9.99,2005-07-22 05:46:37
393,407,1,6545,2.99,2005-09-17 21:39:37
394,467,2,5711,9.99,2005-07-30 20:28:37
395,90,2,2733,5.99,2005-06-07 10:52:37
396,535,2,6470,0.99,2005-08-30 15:36:37
397,373,1,81,5.99,2005-06-28 13:05:37
398,393,2,8578,5.99,2005-06-05 21:40:37
399,118,2,2291,6.99,2005-08-30 00:16:37
400,24,1,7802,3.99,2005-08-30 09:17:37
401,392,1,3212,1.99,2005-06-23 12:39:37
402,480,1,6675,2.99,2005-06-29 20:59:37
403,143,2,15117,0.99,2005-07-25 16:11:37
404,16,1,7349,0.99,2005-08-14 19:04:37
405,555,2,3163,4.99,2005-06-14 06:30:37
406,307,1,6799,8.99,2005-07-12 11:53:37
407,148,2,5547,5.99,2005-06-10 18:18:37
408,324,2,5935,2.99,2005-08-19 14:07:37
409,446,2,2155,5.99,2005-08-21 01:22:37
410,499,1,12414,1.99,2005-08-01 23:13:37
411,181,2,2497,1.99,2005-06-13 19:16:37
412,320,1,8069,5.99,2005-06-02 05:53:37
413,584,2,3229,4.99,2005-08-20 20:16:37
414,355,1,4436,6.99,2005-07-18 23:54:37
415,305,2,6066,5.99,2005-08-27 12:44:37
416,16,1,2923,5.99,2005-08-29 07:42:37
417,378,2,641,6.99,2005-08-28 23:21:37
418,235,2,10967,8.99,2005-06-09 11:12:37
419,138,2,6926,7.99,2005-08-27 19:31:37
420,324,1,15381,2.99,2005-08-18 15:26:37
421,368,1,14288,9.99,2005-07-28 01:27:37
422,395,1,175,6.99,2005-05-29 00:36:37
423,599,2,11795,6.99,2005-06-08 00:17:37
424,201,2,13646,0.99,2005-07-22 15:35:37
425,304,1,6185,0.99,2005-07-06 09:16:37
426,332,2,14472,5.99,2005-07-13 05:04:37
427,385,1,721,7.99,2005-08-31 09:02:37
428,258,1,9925,5.99,2005-08-07 14:46:37
429,161,1,14885,0.99,2005-07-10 07:39:37
430,94,2,9213,6.99,2005-08-11 19:56:37
431,541,2,1016,7.99,2005-08-27 17:11:37
432,198,2,4197,6.99,2005-06-28 00:34:37
433,514,2,7925,7.99,2005-08-24 23:47:37
434,452,2,8988,0.99,2005-09-07 21:59:37
435,477,1,986,1.99,2005-08-02 14:01:37
436,234,2,14137,8.99,2005-09-15 02:26:37
437,141,2,5730,0.99,2005-07-03 12:47:37
438,515,1,15357,8.99,2005-09-03 14:38:37
439,515,2,10913,9.99,2005-08-30 16:02:37
440,201,1,8375,7.99,2005-07-19 00:58:37
441,127,2,14415,8.99,2005-09-12 20:01:37
442,185,1,14981,5.99,2005-07-05 16:26:37
443,234,1,4252,7.99,2005-09-14 21:01:37
444,32,1,14770,1.99,2005-07-09 21:23:37
445,280,2,6334,8.99,2005-07-28 07:08:37
446,281,1,1014,9.99,2005-09-01 03:03:37
447,180,2,5791,4.99,2005-05-27 02:26:37
448,58,1,15513,5.99,2005-06-15 09:39:37
449,247,2,11387,5.99,2005-09-16 02:20:37
450,221,2,10901,8.99,2005-07-07 18:25:37
451,28,1,13071,1.99,2005-08-24 11:15:37
452,273,2,10540,3.99,2005-08-31 09:52:37
453,347,1,5612,3.99,2005-09-10 22:33:37
454,49,1,6188,8.99,2005-05-27 05:25:37
455,125,2,10389,6.99,2005-07-01 11:33:37
456,34,1,6450,4.99,2005-09-17 21:27:37
457,251,1,2738,1.99,2005-08-13 23:17:37
458,67,1,7288,4.99,2005-08-31 08:27:37
459,509,1,3923,7.99,2005-06-27 06:44:37
460,527,1,11374,4.99,2005-09-14 19:01:37
461,166,2,15158,9.99,2005-06-03 14:09:37
462,181,1,11872,3.99,2005-06-22 14:35:37
463,211,1,3055,5.99,2005-06-12 13:42:37
464,434,1,10859,6.99,2005-08-05 05:02:37
465,27,1,10174,7.99,2005-06-12 18:20:37
466,229,2,8454,7.99,2005-08-26 19:02:37
467,129,2,6312,0.99,2005-08-15 15:01:37
468,489,2,15959,7.99,2005-06-22 19:03:37
469,474,1,4084,4.99,2005-07-10 13:45:37
470,452,1,9872,0.99,2005-09-07 18:28:37
471,410,2,12570,3.99,2005-08-28 03:00:37
472,392,1,10422,9.99,2005-07-31 11:43:37
473,566,2,15278,9.99,2005-09-17 18:05:37
474,145,1,3659,3.99,2005-06-15 17:57:37
475,239,2,15234,8.99,2005-09-10 00:37:37
476,513,1,6312,4.99,2005-08-12 12:38:37
477,590,2,9384,8.99,2005-06-07 12:18:37
478,280,2,2682,9.99,2005-09-20 20:56:37
479,235,2,75,6.99,2005-07-08 12:45:37
480,303,2,1703,6.99,2005-07-19 13:35:37
481,257,2,7497,2.99,2005-06-22 21:45:37
482,400,2,8868,0.99,2005-06-26 03:25:37
483,69,2,14086,9.99,2005-06-16 03:57:37
484,393,1,13583,2.99,2005-09-23 08:58:37
485,543,1,2530,6.99,2005-09-16 04:32:37
486,63,2,10132,7.99,2005-09-13 16:13:37
487,547,1,8557,1.99,2005-07-12 18:53:37
488,550,1,12187,2.99,2005-07-13 02:16:37
489,102,2,69,2.99,2005-08-03 06:15:37
490,99,1,6733,3.99,2005-09-15 08:30:37
491,50,1,2762,2.99,2005-07-26 05:14:37
492,562,1,2911,5.99,2005-07-31 14:29:37
493,151,1,5958,5.99,2005-06-05 18:26:37
494,48,2,7931,3.99,2005-07-14 11:14:37
495,35,1,12543,4.99,2005-07-15 21:20:37
496,589,2,421,9.99,2005-09-09 11:43:37
497,185,2,10386,0.99,2005-08-17 06:24:37
498,598,1,12768,8.99,2005-08-08 12:30:37
499,371,2,14454,0.99,2005-08-28 11:22:37
500,120,1,2064,1.99,2005-08-18 14:46:37
501,486,1,10106,2.99,2005-06-23 04:16:37
502,482,2,5490,7.99,2005-06-17 07:33:37
503,40,2,10219,8.99,2005-07-01 06:51:37
504,545,1,12883,1.99,2005-05-28 19:36:37
505,254,2,14091,9.99,2005-08-09 02:41:37
506,422,1,9932,3.99,2005-07-09 17:18:37
507,498,2,6077,5.99,2005-06-14 06:38:37
508,248,1,5325,4.99,2005-07-03 09:24:37
509,132,2,1719,2.99,2005-07-07 02:52:37
510,197,1,11852,5.99,2005-06-17 07:51:37
511,492,1,6576,9.99,2005-08-06 00:34:37
512,340,1,8224,8.99,2005-07-29 10:30:37
513,17,2,9202,3.99,2005-08-22 17:59:37
514,204,2,2990,0.99,2005-08-01 22:00:37
515,57,2,500,9.99,2005-09-17 06:05:37
516,284,2,7690,7.99,2005-07-08 07:09:37
517,242,2,5353,8.99,2005-08-16 19:48:37
518,550,1,4134,4.99,2005-08-05 08:58:37
519,304,1,14417,0.99,2005-06-08 00:58:37
520,470,1,14396,5.99,2005-06-18 21:03:37
521,374,1,9395,3.99,2005-07-21 07:26:37
522,550,2,3440,8.99,2005-06-01 15:40:37
523,285,2,8400,3.99,2005-09-10 14:28:37
524,419,2,10995,2.99,2005-06-23 16:07:37
525,68,1,3646,4.99,2005-09-18 04:47:37
526,43,2,1124,1.99,2005-05-31 01:05:37
527,223,2,2514,0.99,2005-07-09 18:48:37
528,425,1,3666,3.99,2005-07-01 02:25:37
529,308,2,2163,2.99,2005-08-11 19:18:37
530,250,2,6218,1.99,2005-07-19 08:54:37
531,61,1,3749,8.99,2005-08-01 20:49:37
532,538,2,3110,8.99,2005-09-09 18:54:37
533,38,2,2917,6.99,2005-06-13 20:03:37
534,463,2,14552,3.99,2005-06-22 06:27:37
535,418,2,15146,9.99,2005-07-14 09:06:37
536,552,2,7409,7.99,2005-06-19 02:07:37
537,223,2,5576,7.99,2005-05-26 20:51:37
